Título:;Data:;Link:;Fonte:
Comandante do Exército não confessou vender fuzis a facções | Aos Fatos;20/10/2023;https://www.aosfatos.org//noticias/falso-comandante-exercito-confessou-vender-fuzis/;Aos Fatos
Vídeo não mostra ataque do Hamas a embaixada no Bahrein | Aos Fatos;20/10/2023;https://www.aosfatos.org//noticias/video-bahrein-2012-nao-ataque-hamas/;Aos Fatos
Lula não desviou caminhões da Codevasf para seu filho | Aos Fatos;20/10/2023;https://www.aosfatos.org//noticias/falso-lula-caminhoes-codevasf-filho/;Aos Fatos
Vídeo não mostra membros do Hamas em Crateús, no Ceará | Aos Fatos;20/10/2023;https://www.aosfatos.org//noticias/falso-hamas-crateus-ceara/;Aos Fatos
"É #FAKE vídeo em que carrinho de compras &#39;fantasma&#39; anda sozinho na madrugada em supermercado | Fato ou Fake | G1";20/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/20/e-fake-video-em-que-carrinho-de-compras-fantasma-anda-sozinho-na-madrugada-em-supermercado.ghtml;Fato ou Fake
Vídeo não mostra fala pró-Israel feita por palestino na ONU | Aos Fatos;19/10/2023;https://www.aosfatos.org//noticias/video-nao-mostra-discurso-pro-israel-feito-por-lider-palestino-na-onu/;Aos Fatos
"É #FAKE vídeo que mostra heroína salvando menina de sequestro; trata-se de uma encenação | Fato ou Fake | G1";19/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/19/e-fake-video-que-mostra-heroina-salvando-menina-de-sequestro-trata-se-de-uma-encenacao.ghtml;Fato ou Fake
Posts inventam leilão dos Correios para aplicar golpe | Aos Fatos;18/10/2023;https://www.aosfatos.org//noticias/posts-inventam-leilao-de-smartphones-pelos-correios-para-aplicar-golpe/;Aos Fatos
Imagens não mostram militares presos por transportar drogas | Aos Fatos;18/10/2023;https://www.aosfatos.org//noticias/falso-imagens-militares-presos-drogas/;Aos Fatos
Vídeo mostra prisão de líder armênio, não de chefe do Hamas | Aos Fatos;18/10/2023;https://www.aosfatos.org//noticias/video-prisao-lider-armenio-nao-comandante-hamas/;Aos Fatos
Veja o que é #FATO ou #FAKE em vídeos que viralizaram durante o conflito entre Israel e Hamas | Fato ou Fake | G1;18/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/18/veja-o-que-e-fato-ou-fake-em-videos-que-viralizaram-durante-o-conflito-entre-israel-e-hamas.ghtml;Fato ou Fake
Vídeo não mostra funeral encenado recentemente na Palestina | Aos Fatos;17/10/2023;https://www.aosfatos.org//noticias/funeral-encenado-foi-gravado-na-jordania-em-2020-nao-recentemente-na-palestina/;Aos Fatos
Posts usam vídeo antigo para questionar cirurgia de Lula | Aos Fatos;17/10/2023;https://www.aosfatos.org//noticias/video-antigo-para-questionar-veracidade-de-cirurgia-recente-de-lula/;Aos Fatos
Foto não mostra Bolsonaro cumprimentando o chefe do Hamas | Aos Fatos;17/10/2023;https://www.aosfatos.org//noticias/bolsonaro-cumprimenta-presidente-emirados-arabes-unidos-nao-chefe-do-hamas/;Aos Fatos
Lula não assinou acordo de cooperação técnica com o Hamas | Aos Fatos;17/10/2023;https://www.aosfatos.org//noticias/falso-governo-lula-cooperacao-tecnica-hamas/;Aos Fatos
Cristiano Ronaldo não foi condenado por adultério no Irã | Aos Fatos;16/10/2023;https://www.aosfatos.org//noticias/falso-cristiano-ronaldo-condenado-adulterio-pintora-iraniana/;Aos Fatos
Michelle Bolsonaro não recepcionou repatriados de Israel | Aos Fatos;16/10/2023;https://www.aosfatos.org//noticias/falso-michelle-bolsonaro-brasileiros-israel/;Aos Fatos
É #FAKE que vídeos mostrem queda de turbina de avião sobre carro perto do Aeroporto de Guarulhos | Fato ou Fake | G1;12/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/12/e-fake-que-videos-mostrem-queda-de-turbina-de-aviao-sobre-carro-perto-do-aeroporto-de-guarulhos.ghtml;Fato ou Fake
O que é #Fato e o que é #Fake na guerra entre Israel e Hamas | Fato ou Fake | G1;12/10/2023;https://g1.globo.com/fato-ou-fake/video/o-que-e-fato-e-o-que-e-fake-na-guerra-entre-israel-e-hamas-12039216.ghtml;Fato ou Fake
Vídeo mostra cena de filme, não morte forjada em Israel | Aos Fatos;11/10/2023;https://www.aosfatos.org//noticias/video-gravacao-filme-nao-encenacao-mortes-israel-hamas/;Aos Fatos
É falso que foto mostra Boulos com integrantes do Hamas | Aos Fatos;11/10/2023;https://www.aosfatos.org//noticias/falso-foto-guilherme-boulos-hamas/;Aos Fatos
Vídeo mostra ataque turco à Síria, não contra Israel | Aos Fatos;11/10/2023;https://www.aosfatos.org//noticias/video-ataque-siria-2020-nao-israel/;Aos Fatos
Foto de bebê amarrado a granadas não é recente | Aos Fatos;11/10/2023;https://www.aosfatos.org//noticias/foto-bebe-granadas-nao-israel/;Aos Fatos
É #FAKE que vídeo mostre traficantes expulsando turistas de praia na Bahia | Fato ou Fake | G1;11/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/11/e-fake-que-video-mostre-traficantes-expulsando-turistas-de-praia-na-bahia.ghtml;Fato ou Fake
Vídeo mostra cenas de jogo, não guerra entre Israel e Hamas | Aos Fatos;10/10/2023;https://www.aosfatos.org//noticias/cenas-videogame-nao-ataque-israel-hamas/;Aos Fatos
Vídeo antigo de ataque israelense circula fora de contexto | Aos Fatos;10/10/2023;https://www.aosfatos.org//noticias/video-antigo-faixa-de-gaza-circula-como-recente/;Aos Fatos
Vídeo não mostra sequestro de LGBTQIA+ em ato pró-Hamas | Aos Fatos;10/10/2023;https://www.aosfatos.org//noticias/cenas-repressao-ato-lgbtqia-ucrania-circulam-como-se-mostrassem-marcha-pro-hamas/;Aos Fatos
É falso que foto mostra Lula cumprimentando o chefe do Hamas | Aos Fatos;10/10/2023;https://www.aosfatos.org//noticias/falso-foto-lula-chefe-hamas/;Aos Fatos, Fato ou Fake
É falso que vídeo mostra toque de recolher em praia da Bahia | Aos Fatos;09/10/2023;https://www.aosfatos.org//noticias/falso-video-toque-de-recolher-bahia/;Aos Fatos
Vídeos mostram jogo online, não guerra entre Israel e Hamas | Aos Fatos;09/10/2023;https://www.aosfatos.org//noticias/videos-jogo-arma3-nao-guerra-israel-hamas/;Aos Fatos
Vídeo não mostra Hamas invadindo de parapente rave em Israel | Aos Fatos;09/10/2023;https://www.aosfatos.org//noticias/falso-invasao-hamas-parapente/;Aos Fatos
É falso que Lula doou R$ 25 milhões a Hamas | Aos Fatos;09/10/2023;https://www.aosfatos.org//noticias/falso-lula-doou-25-milhoes-hamas/;Aos Fatos
É #FAKE que vídeo que mostra explosão durante fuga de bandidos foi gravado no Brasil | Fato ou Fake | G1;09/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/09/e-fake-que-video-que-mostra-explosao-durante-fuga-de-bandidos-foi-gravado-no-brasil.ghtml;Fato ou Fake
É falso que Alexandre de Moraes foi advogado do PCC | Aos Fatos;06/10/2023;https://www.aosfatos.org//noticias/falso-alexandre-de-moraes-advogado-do-pcc/;Aos Fatos
Empréstimo do CAF à Argentina não teve garantias do Brasil | Aos Fatos;06/10/2023;https://www.aosfatos.org//noticias/emprestimo-caf-argentina/;Aos Fatos
"É #FATO: a rua inclinada e escorregadia no México que é famosa por deixar carros desgovernados; VÍDEO | Fato ou Fake | G1";06/10/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/10/06/e-fato-a-rua-inclinada-e-escorregadia-no-mexico-que-e-famosa-por-deixar-carros-desgovernados-video.ghtml;Fato ou Fake
PEC do Plasma não impede venda de sangue de vacinados | Aos Fatos;05/10/2023;https://www.aosfatos.org//noticias/falso-pec-do-plasma-impede-venda-sangue-vacinados/;Aos Fatos
Vídeo não mostra incêndio causado por autoridades no Pará | Aos Fatos;05/10/2023;https://www.aosfatos.org//noticias/falso-video-incendio-comercios-pf-forca-nacional/;Aos Fatos
Marcola não será solto após alvará expedido pela Justiça | Aos Fatos;04/10/2023;https://www.aosfatos.org//noticias/falso-marcola-solto-alvara-tjsp/;Aos Fatos
Ministério não quer cancelar eleição de conselhos tutelares | Aos Fatos;04/10/2023;https://www.aosfatos.org//noticias/falso-ministerio-direitos-humanos-cancelar-eleicao-conselhos-tutelares/;Aos Fatos
Canadá não disse que vacinados por Covid-19 contraíram Aids | Aos Fatos;03/10/2023;https://www.aosfatos.org//noticias/falso-canada-vacinados-covid-19-aids/;Aos Fatos
Vídeo sobre criança que recebeu camisinha de escola é antigo | Aos Fatos;03/10/2023;https://www.aosfatos.org//noticias/mulher-denuncia-filha-camisinhas-escola/;Aos Fatos
Vídeo não mostra muçulmano detido por tráfico de crianças | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/video-excesso-de-passageiros-nao-trafico-de-criancas/;Aos Fatos
Vídeo não mostra muçulmano detido por tráfico de crianças | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/video-excesso-de-passageiros-nao-trafico-de-criancas/;Aos Fatos
É falso que imposto sindical foi descontado de aposentadoria | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/falso-imposto-sindical-descontado-aposentadoria/;Aos Fatos
Vídeo mostra recorde de natação, não idosa fugindo de Cuba | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/video-recorde-nadadora-nao-idosa-fugindo-de-cuba/;Aos Fatos
Câmara não derrubou decreto de Lula contra armas de fogo | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/falso-camara-derrubou-decreto-lula-armas/;Aos Fatos
